projection_x_coordinate,projection_y_coordinate,hw_threshold
198000,1086000,100
210000,1086000,100
222000,1086000,100
234000,1086000,25
246000,1086000,25
258000,1086000,25
270000,1086000,25
282000,1086000,25
294000,1086000,25
306000,1086000,25
318000,1086000,25
330000,1086000,25
342000,1086000,25
354000,1086000,25
366000,1086000,25
378000,1086000,25
390000,1086000,25
402000,1086000,25
414000,1086000,25
426000,1086000,25
438000,1086000,25
450000,1086000,25
462000,1086000,25
474000,1086000,25
486000,1086000,25
498000,1086000,25
510000,1086000,25
522000,1086000,25
534000,1086000,25
546000,1086000,25
558000,1086000,100
570000,1086000,100
582000,1086000,100
594000,1086000,100
606000,1086000,100
618000,1086000,100
630000,1086000,100
642000,1086000,100
654000,1086000,100
666000,1086000,100
678000,1086000,100
690000,1086000,100
702000,1086000,100
714000,1086000,100
726000,1086000,100
738000,1086000,100
750000,1086000,100
762000,1086000,100
-210000,1074000,100
-198000,1074000,100
-186000,1074000,100
-174000,1074000,100
-162000,1074000,100
-150000,1074000,100
-138000,1074000,100
-126000,1074000,100
-114000,1074000,100
-102000,1074000,100
-90000,1074000,100
-78000,1074000,100
-66000,1074000,100
-54000,1074000,100
-42000,1074000,100
-30000,1074000,100
-18000,1074000,100
-6000,1074000,100
6000,1074000,100
18000,1074000,100
30000,1074000,100
42000,1074000,100
54000,1074000,100
66000,1074000,100
78000,1074000,100
90000,1074000,100
102000,1074000,100
114000,1074000,100
126000,1074000,100
138000,1074000,25
150000,1074000,25
162000,1074000,100
174000,1074000,100
186000,1074000,25
198000,1074000,25
210000,1074000,25
222000,1074000,25
234000,1074000,25
246000,1074000,25
258000,1074000,25
270000,1074000,25
282000,1074000,25
294000,1074000,25
306000,1074000,25
318000,1074000,25
330000,1074000,25
342000,1074000,25
354000,1074000,25
366000,1074000,25
378000,1074000,25
390000,1074000,25
402000,1074000,25
414000,1074000,25
426000,1074000,25
438000,1074000,25
450000,1074000,25
462000,1074000,25
474000,1074000,25
486000,1074000,25
498000,1074000,25
510000,1074000,25
522000,1074000,25
534000,1074000,25
546000,1074000,25
558000,1074000,100
570000,1074000,100
582000,1074000,100
594000,1074000,100
606000,1074000,100
618000,1074000,100
630000,1074000,100
642000,1074000,100
654000,1074000,100
666000,1074000,100
678000,1074000,100
690000,1074000,100
702000,1074000,100
714000,1074000,100
726000,1074000,100
738000,1074000,100
750000,1074000,100
762000,1074000,100
-210000,1062000,100
-198000,1062000,100
-186000,1062000,100
-174000,1062000,100
-162000,1062000,100
-150000,1062000,100
-138000,1062000,100
-126000,1062000,100
-114000,1062000,100
-102000,1062000,100
-90000,1062000,100
-78000,1062000,100
-66000,1062000,100
-54000,1062000,100
-42000,1062000,100
-30000,1062000,100
-18000,1062000,100
-6000,1062000,100
6000,1062000,100
18000,1062000,100
30000,1062000,100
42000,1062000,100
54000,1062000,100
66000,1062000,100
78000,1062000,100
90000,1062000,25
102000,1062000,25
114000,1062000,25
126000,1062000,25
138000,1062000,25
150000,1062000,25
162000,1062000,25
174000,1062000,25
186000,1062000,25
198000,1062000,25
210000,1062000,25
222000,1062000,25
234000,1062000,25
246000,1062000,25
258000,1062000,25
270000,1062000,25
282000,1062000,25
294000,1062000,25
306000,1062000,25
318000,1062000,25
330000,1062000,25
342000,1062000,25
354000,1062000,25
366000,1062000,25
378000,1062000,25
390000,1062000,25
402000,1062000,25
414000,1062000,25
426000,1062000,25
438000,1062000,25
450000,1062000,25
462000,1062000,25
474000,1062000,25
486000,1062000,25
